PDBID,HBOND_LIG_SC,HBOND:LIG_MC,HBOND:SC_LIG,HBOND:MC_LIG,VDW:LIG_SC,VDW:LIG_MC,VDW:SC_LIG,VDW:MC_LIG,HBOND_LIG_SC2 normal,HBOND:LIG_MC3 normal,HBOND:SC_LIG4 normal,HBOND:MC_LIG5 normal,VDW:LIG_SC6 normal,VDW:LIG_MC7 normal,VDW:SC_LIG8 normal,VDW:MC_LIG9 normal
3J9M,0,157,0,28,296,13,67,1,0,0.279359431,0,0.049822064,0.526690391,0.023131673,0.119217082,0.001779359
3J9W,0,2,0,0,1,0,3,0,0,0.333333333,0,0,0.166666667,0,0.5,0
3J9Y,0,227,0,25,281,15,38,0,0,0.387372014,0,0.042662116,0.479522184,0.02559727,0.064846416,0
3J9Z,0,4,0,4,11,1,2,1,0,0.173913043,0,0.173913043,0.47826087,0.043478261,0.086956522,0.043478261
3JA1,0,0,0,3,6,1,4,2,0,0,0,0.1875,0.375,0.0625,0.25,0.125
3JAG,0,561,0,0,816,38,14,0,0,0.392582225,0,0,0.571028691,0.026592022,0.009797061,0
3JAH,0,576,0,0,810,41,13,0,0,0.4,0,0,0.5625,0.028472222,0.009027778,0
3JAI,0,584,0,0,829,43,11,0,0,0.398091343,0,0,0.565098841,0.02931152,0.007498296,0
3JAJ,0,369,0,0,525,37,7,2,0,0.392553191,0,0,0.558510638,0.039361702,0.007446809,0.00212766
3JAN,0,370,0,0,527,41,0,0,0,0.39445629,0,0,0.561833689,0.043710021,0,0
3JBN,0,166,0,23,158,14,30,2,0,0.422391858,0,0.058524173,0.402035623,0.03562341,0.076335878,0.005089059
3JBO,0,154,0,27,156,14,32,1,0,0.401041667,0,0.0703125,0.40625,0.036458333,0.083333333,0.002604167
3JBP,0,145,0,19,134,6,26,3,0,0.435435435,0,0.057057057,0.402402402,0.018018018,0.078078078,0.009009009
3JBU,0,167,0,24,208,20,27,1,0,0.37360179,0,0.053691275,0.465324385,0.044742729,0.060402685,0.002237136
3JBV,0,232,0,25,278,49,32,1,0,0.376012966,0,0.040518639,0.450567261,0.079416532,0.051863857,0.001620746
3JCD,0,198,0,20,242,15,46,3,0,0.377862595,0,0.038167939,0.461832061,0.028625954,0.08778626,0.005725191
3JCE,0,225,0,19,283,11,44,2,0,0.385273973,0,0.032534247,0.484589041,0.018835616,0.075342466,0.003424658
3JCJ,0,205,0,3,290,13,13,2,0,0.38973384,0,0.005703422,0.551330798,0.024714829,0.024714829,0.003802281
3JCN,0,234,0,18,272,15,36,1,0,0.40625,0,0.03125,0.472222222,0.026041667,0.0625,0.001736111
3JCS,0,308,0,0,445,25,0,0,0,0.395886889,0,0,0.571979434,0.032133676,0,0
3JCT,0,316,0,0,599,28,0,0,0,0.335100742,0,0,0.635206787,0.029692471,0,0
4BTS,0,1,0,1,4,0,2,1,0,0.111111111,0,0.111111111,0.444444444,0,0.222222222,0.111111111
4D5Y,0,276,0,0,501,46,0,0,0,0.335358445,0,0,0.608748481,0.055893074,0,0
4D67,0,276,0,0,501,46,0,0,0,0.335358445,0,0,0.608748481,0.055893074,0,0
4L47,0,2,0,0,10,0,2,2,0,0.125,0,0,0.625,0,0.125,0.125
4L71,0,1,0,0,9,0,3,1,0,0.071428571,0,0,0.642857143,0,0.214285714,0.071428571
4LEL,0,2,0,0,10,0,2,1,0,0.133333333,0,0,0.666666667,0,0.133333333,0.066666667
4LFZ,0,2,0,0,10,0,3,0,0,0.133333333,0,0,0.666666667,0,0.2,0
4LNT,0,0,0,0,11,1,2,1,0,0,0,0,0.733333333,0.066666667,0.133333333,0.066666667
4LSK,0,2,0,0,11,1,2,2,0,0.111111111,0,0,0.611111111,0.055555556,0.111111111,0.111111111
4LT8,0,2,0,0,11,1,2,2,0,0.111111111,0,0,0.611111111,0.055555556,0.111111111,0.111111111
4P6F,0,3,0,0,18,1,2,1,0,0.12,0,0,0.72,0.04,0.08,0.04
4P70,0,1,0,0,11,0,3,1,0,0.0625,0,0,0.6875,0,0.1875,0.0625
4TUA,0,1,0,0,11,0,2,1,0,0.066666667,0,0,0.733333333,0,0.133333333,0.066666667
4TUB,0,0,0,0,13,0,2,1,0,0,0,0,0.8125,0,0.125,0.0625
4TUC,0,2,0,0,10,0,2,0,0,0.142857143,0,0,0.714285714,0,0.142857143,0
4TUD,0,0,0,0,10,0,2,0,0,0,0,0,0.833333333,0,0.166666667,0
4TUE,0,1,0,0,9,0,2,0,0,0.083333333,0,0,0.75,0,0.166666667,0
4TVX,0,0,128,53,0,0,115,9,0,0,0.419672131,0.173770492,0,0,0.37704918,0.029508197
4U1U,0,3,0,3,4,0,9,1,0,0.15,0,0.15,0.2,0,0.45,0.05
4U1V,0,4,0,1,4,0,9,2,0,0.2,0,0.05,0.2,0,0.45,0.1
4U20,0,4,0,2,4,0,7,2,0,0.210526316,0,0.105263158,0.210526316,0,0.368421053,0.105263158
4U24,0,3,0,1,2,0,10,2,0,0.166666667,0,0.055555556,0.111111111,0,0.555555556,0.111111111
4U25,0,4,0,3,3,0,9,2,0,0.19047619,0,0.142857143,0.142857143,0,0.428571429,0.095238095
4U26,0,4,0,1,2,0,8,2,0,0.235294118,0,0.058823529,0.117647059,0,0.470588235,0.117647059
4U27,0,4,0,2,3,0,7,1,0,0.235294118,0,0.117647059,0.176470588,0,0.411764706,0.058823529
4U3M,0,1151,0,0,1565,103,0,0,0,0.408300816,0,0,0.555161405,0.036537779,0,0
4U3N,0,1195,0,0,1624,105,0,0,0,0.408686731,0,0,0.555403557,0.035909713,0,0
4U3U,0,1183,0,0,1597,89,0,0,0,0.412338794,0,0,0.556639944,0.031021262,0,0
4U4N,0,1163,0,0,1659,105,0,0,0,0.397335155,0,0,0.566791937,0.035872907,0,0
4U4O,0,1108,0,0,1595,111,0,0,0,0.393745558,0,0,0.566808813,0.039445629,0,0
4U4Q,0,1164,0,0,1618,101,0,0,0,0.403746098,0,0,0.56122095,0.035032952,0,0
4U4R,0,1203,0,0,1623,96,0,0,0,0.411704312,0,0,0.555441478,0.032854209,0,0
4U4U,0,1184,0,0,1591,109,0,0,0,0.410540915,0,0,0.551664355,0.03779473,0,0
4U4Y,0,1151,0,0,1592,94,0,0,0,0.405710257,0,0,0.561156151,0.033133592,0,0
4U4Z,0,1159,0,0,1648,104,0,0,0,0.398144967,0,0,0.566128478,0.035726554,0,0
4U50,0,1205,0,0,1673,100,0,0,0,0.404633983,0,0,0.561786434,0.033579584,0,0
4U51,0,1183,0,0,1613,107,0,0,0,0.407509473,0,0,0.555632105,0.036858422,0,0
4U52,0,1171,0,0,1622,100,0,0,0,0.404770135,0,0,0.560663671,0.034566194,0,0
4U53,0,1171,0,0,1632,96,0,0,0,0.40393239,0,0,0.562952742,0.033114867,0,0
4U55,0,1181,0,0,1613,106,0,0,0,0.407241379,0,0,0.556206897,0.036551724,0,0
4U56,0,1168,0,0,1575,98,0,0,0,0.411122844,0,0,0.55438226,0.034494896,0,0
4U6F,0,1175,0,0,1603,103,0,0,0,0.407844498,0,0,0.556404026,0.035751475,0,0
4UG0,0,0,0,2,4,0,4,1,0,0,0,0.181818182,0.363636364,0,0.363636364,0.090909091
4UJC,0,265,0,3,528,52,17,1,0,0.306004619,0,0.003464203,0.609699769,0.060046189,0.019630485,0.001154734
4UJD,0,1,0,4,21,3,28,4,0,0.016393443,0,0.06557377,0.344262295,0.049180328,0.459016393,0.06557377
4UJE,0,262,0,0,528,53,0,0,0,0.310794781,0,0,0.62633452,0.0628707,0,0
4V3P,0,2,0,22,2,0,39,12,0,0.025974026,0,0.285714286,0.025974026,0,0.506493506,0.155844156
4V49,0,0,0,3,0,0,9,3,0,0,0,0.2,0,0,0.6,0.2
4V4A,0,0,0,1,0,0,6,1,0,0,0,0.125,0,0,0.75,0.125
4V4B,0,3,0,1,0,0,10,2,0,0.1875,0,0.0625,0,0,0.625,0.125
4V4G,0,3,0,7,14,7,9,7,0,0.063829787,0,0.14893617,0.29787234,0.14893617,0.191489362,0.14893617
4V4H,0,3,0,0,0,0,4,0,0,0.428571429,0,0,0,0,0.571428571,0
4V4I,0,0,0,154,1,0,342,35,0,0,0,0.289473684,0.001879699,0,0.642857143,0.065789474
4V4J,0,0,0,128,0,2,259,27,0,0,0,0.307692308,0,0.004807692,0.622596154,0.064903846
4V4N,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
4V4P,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0,0.5,0
4V4Q,0,3,0,0,0,0,4,0,0,0.428571429,0,0,0,0,0.571428571,0
4V4R,0,1,0,0,4,0,1,0,0,0.166666667,0,0,0.666666667,0,0.166666667,0
4V4S,0,1,0,0,4,0,1,0,0,0.166666667,0,0,0.666666667,0,0.166666667,0
4V4T,0,1,0,0,4,1,2,0,0,0.125,0,0,0.5,0.125,0.25,0
4V4V,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4V4W,0,0,0,0,1,0,4,2,0,0,0,0,0.142857143,0,0.571428571,0.285714286
4V4X,0,2,0,0,4,1,1,0,0,0.25,0,0,0.5,0.125,0.125,0
4V4Y,0,2,0,0,5,1,1,0,0,0.222222222,0,0,0.555555556,0.111111111,0.111111111,0
4V4Z,0,2,0,0,4,0,0,0,0,0.333333333,0,0,0.666666667,0,0,0
4V50,0,0,0,1,3,0,6,0,0,0,0,0.1,0.3,0,0.6,0
4V51,0,4,0,0,15,0,2,0,0,0.19047619,0,0,0.714285714,0,0.095238095,0
4V52,0,0,0,0,1,0,7,0,0,0,0,0,0.125,0,0.875,0
4V53,0,0,0,0,3,0,5,0,0,0,0,0,0.375,0,0.625,0
4V54,0,0,0,0,1,0,4,0,0,0,0,0,0.2,0,0.8,0
4V55,0,0,0,0,1,0,4,0,0,0,0,0,0.2,0,0.8,0
4V56,0,0,0,0,1,0,4,0,0,0,0,0,0.2,0,0.8,0
4V57,0,0,0,0,1,0,5,0,0,0,0,0,0.166666667,0,0.833333333,0
4V5A,0,2,0,1,7,0,2,0,0,0.166666667,0,0.083333333,0.583333333,0,0.166666667,0
4V5B,0,0,0,2,1,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0
4V5C,0,5,0,0,6,0,2,2,0,0.333333333,0,0,0.4,0,0.133333333,0.133333333
4V5D,0,3,0,0,4,0,6,2,0,0.2,0,0,0.266666667,0,0.4,0.133333333
4V5E,0,2,0,13,10,0,21,1,0,0.042553191,0,0.276595745,0.212765957,0,0.446808511,0.021276596
4V5F,0,1,0,0,14,1,11,3,0,0.033333333,0,0,0.466666667,0.033333333,0.366666667,0.1
4V5G,0,4,0,0,16,0,3,0,0,0.173913043,0,0,0.695652174,0,0.130434783,0
4V5H,0,0,0,1,2,0,4,1,0,0,0,0.125,0.25,0,0.5,0.125
4V5J,0,3,0,7,13,1,21,4,0,0.06122449,0,0.142857143,0.265306122,0.020408163,0.428571429,0.081632653
4V5K,0,6,0,0,13,0,6,1,0,0.230769231,0,0,0.5,0,0.230769231,0.038461538
4V5L,0,3,0,0,6,1,1,1,0,0.25,0,0,0.5,0.083333333,0.083333333,0.083333333
4V5M,0,0,0,0,6,0,1,0,0,0,0,0,0.857142857,0,0.142857143,0
4V5N,0,0,0,0,5,0,2,0,0,0,0,0,0.714285714,0,0.285714286,0
4V5O,0,0,0,0,6,1,5,1,0,0,0,0,0.461538462,0.076923077,0.384615385,0.076923077
4V5P,0,3,0,0,11,0,2,2,0,0.166666667,0,0,0.611111111,0,0.111111111,0.111111111
4V5Q,0,5,0,0,6,0,4,0,0,0.333333333,0,0,0.4,0,0.266666667,0
4V5R,0,4,0,0,11,1,2,0,0,0.222222222,0,0,0.611111111,0.055555556,0.111111111,0
4V5S,0,4,0,0,13,1,2,0,0,0.2,0,0,0.65,0.05,0.1,0
4V5Y,0,0,0,0,1,0,5,0,0,0,0,0,0.166666667,0,0.833333333,0
4V61,0,2,0,0,6,2,3,0,0,0.153846154,0,0,0.461538462,0.153846154,0.230769231,0
4V63,0,4,0,11,8,1,22,3,0,0.081632653,0,0.224489796,0.163265306,0.020408163,0.448979592,0.06122449
4V64,0,0,0,0,2,0,7,0,0,0,0,0,0.222222222,0,0.777777778,0
4V65,0,5,0,0,3,1,2,0,0,0.454545455,0,0,0.272727273,0.090909091,0.181818182,0
4V66,0,3,0,0,1,1,2,0,0,0.428571429,0,0,0.142857143,0.142857143,0.285714286,0
4V67,0,2,0,12,16,1,17,2,0,0.04,0,0.24,0.32,0.02,0.34,0.04
4V68,0,1,0,0,4,0,3,0,0,0.125,0,0,0.5,0,0.375,0
4V69,0,3,0,0,5,0,7,1,0,0.1875,0,0,0.3125,0,0.4375,0.0625
4V6A,0,5,0,1,6,0,3,2,0,0.294117647,0,0.058823529,0.352941176,0,0.176470588,0.117647059
4V6C,0,0,0,0,2,0,4,0,0,0,0,0,0.333333333,0,0.666666667,0
4V6D,0,0,0,0,2,0,2,0,0,0,0,0,0.5,0,0.5,0
4V6E,0,1,0,0,1,0,3,0,0,0.2,0,0,0.2,0,0.6,0
4V6F,0,2,0,2,6,0,13,2,0,0.08,0,0.08,0.24,0,0.52,0.08
4V6G,0,4,0,0,8,1,7,0,0,0.2,0,0,0.4,0.05,0.35,0
4V6I,0,0,0,244,0,0,409,34,0,0,0,0.355167394,0,0,0.595342067,0.049490539
4V6K,0,3,0,1,11,1,0,0,0,0.1875,0,0.0625,0.6875,0.0625,0,0
4V6L,0,4,0,2,1,0,11,0,0,0.222222222,0,0.111111111,0.055555556,0,0.611111111,0
4V6M,0,2,0,1,2,0,17,3,0,0.08,0,0.04,0.08,0,0.68,0.12
4V6N,0,0,0,4,6,1,8,0,0,0,0,0.210526316,0.315789474,0.052631579,0.421052632,0
4V6O,0,5,0,0,5,0,6,1,0,0.294117647,0,0,0.294117647,0,0.352941176,0.058823529
4V6P,0,3,0,2,5,0,8,1,0,0.157894737,0,0.105263158,0.263157895,0,0.421052632,0.052631579
4V6Q,0,5,0,2,4,0,3,1,0,0.333333333,0,0.133333333,0.266666667,0,0.2,0.066666667
4V6R,0,8,0,0,5,2,4,0,0,0.421052632,0,0,0.263157895,0.105263158,0.210526316,0
4V6S,0,0,0,3,7,0,2,1,0,0,0,0.230769231,0.538461538,0,0.153846154,0.076923077
4V6T,0,9,0,7,4,3,11,10,0,0.204545455,0,0.159090909,0.090909091,0.068181818,0.25,0.227272727
4V6U,0,2,0,0,6,1,3,0,0,0.166666667,0,0,0.5,0.083333333,0.25,0
4V6V,0,6,0,2,10,1,14,2,0,0.171428571,0,0.057142857,0.285714286,0.028571429,0.4,0.057142857
4V6W,0,296,0,120,649,37,254,19,0,0.215272727,0,0.087272727,0.472,0.026909091,0.184727273,0.013818182
4V6X,0,253,0,114,439,29,210,15,0,0.238679245,0,0.10754717,0.414150943,0.027358491,0.198113208,0.014150943
4V6Y,0,1,0,0,5,0,1,0,0,0.142857143,0,0,0.714285714,0,0.142857143,0
4V6Z,0,0,0,0,1,0,2,0,0,0,0,0,0.333333333,0,0.666666667,0
4V70,0,1,0,0,2,0,4,0,0,0.142857143,0,0,0.285714286,0,0.571428571,0
4V71,0,2,0,0,1,0,5,0,0,0.25,0,0,0.125,0,0.625,0
4V72,0,0,0,1,10,0,0,0,0,0,0,0.090909091,0.909090909,0,0,0
4V73,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
4V74,0,0,0,0,5,0,4,0,0,0,0,0,0.555555556,0,0.444444444,0
4V75,0,1,0,0,0,0,4,0,0,0.2,0,0,0,0,0.8,0
4V76,0,0,0,0,4,1,2,0,0,0,0,0,0.571428571,0.142857143,0.285714286,0
4V77,0,2,0,0,1,0,2,0,0,0.4,0,0,0.2,0,0.4,0
4V78,0,0,0,0,3,0,3,0,0,0,0,0,0.5,0,0.5,0
4V79,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
4V7A,0,1,0,1,5,0,1,0,0,0.125,0,0.125,0.625,0,0.125,0
4V7B,0,0,0,0,3,0,2,0,0,0,0,0,0.6,0,0.4,0
4V7C,0,0,0,1,1,0,1,0,0,0,0,0.333333333,0.333333333,0,0.333333333,0
4V7D,0,1,0,0,4,0,0,0,0,0.2,0,0,0.8,0,0,0
4V7E,0,283,0,0,722,72,0,0,0,0.262766945,0,0,0.670380687,0.066852368,0,0
4V7H,0,9,0,0,10,18,1,0,0,0.236842105,0,0,0.263157895,0.473684211,0.026315789,0
4V7I,0,1,0,0,5,0,0,0,0,0.166666667,0,0,0.833333333,0,0,0
4V7L,0,6,0,2,7,0,4,0,0,0.315789474,0,0.105263158,0.368421053,0,0.210526316,0
4V7M,0,4,0,0,7,0,5,1,0,0.235294118,0,0,0.411764706,0,0.294117647,0.058823529
4V7P,0,4,0,4,6,1,12,2,0,0.137931034,0,0.137931034,0.206896552,0.034482759,0.413793103,0.068965517
4V7R,0,1,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0
4V7S,0,0,0,0,3,0,5,0,0,0,0,0,0.375,0,0.625,0
4V7T,0,0,0,0,3,0,5,0,0,0,0,0,0.375,0,0.625,0
4V7U,0,0,0,0,2,0,5,0,0,0,0,0,0.285714286,0,0.714285714,0
4V7V,0,0,0,0,2,0,5,0,0,0,0,0,0.285714286,0,0.714285714,0
4V7W,0,2,0,0,5,0,2,2,0,0.181818182,0,0,0.454545455,0,0.181818182,0.181818182
4V7X,0,2,0,1,4,0,2,2,0,0.181818182,0,0.090909091,0.363636364,0,0.181818182,0.181818182
4V7Y,0,2,0,1,4,0,2,2,0,0.181818182,0,0.090909091,0.363636364,0,0.181818182,0.181818182
4V7Z,0,2,0,0,6,0,4,0,0,0.166666667,0,0,0.5,0,0.333333333,0
5IT8,0,4,0,0,4,1,6,0,0,0.266666667,0,0,0.266666667,0.066666667,0.4,0
5J30,0,4,0,8,9,0,13,2,0,0.111111111,0,0.222222222,0.25,0,0.361111111,0.055555556
5J3C,0,3,0,9,13,0,16,3,0,0.068181818,0,0.204545455,0.295454545,0,0.363636364,0.068181818
5J4D,0,582,0,63,648,43,53,4,0,0.417803302,0,0.045226131,0.465183058,0.030868629,0.03804738,0.0028715
5J5B,0,3,0,0,4,0,6,0,0,0.230769231,0,0,0.307692308,0,0.461538462,0
5J7L,0,3,0,0,5,0,6,0,0,0.214285714,0,0,0.357142857,0,0.428571429,0
5J88,0,3,0,0,6,1,7,0,0,0.176470588,0,0,0.352941176,0.058823529,0.411764706,0
5J8A,0,3,0,0,7,1,6,0,0,0.176470588,0,0,0.411764706,0.058823529,0.352941176,0
5J8B,0,294,0,50,329,23,71,3,0,0.381818182,0,0.064935065,0.427272727,0.02987013,0.092207792,0.003896104
5J91,0,3,0,0,4,0,6,0,0,0.230769231,0,0,0.307692308,0,0.461538462,0
5JC9,0,3,0,0,6,0,6,0,0,0.2,0,0,0.4,0,0.4,0
5JCS,0,0,0,226,0,0,0,103,0,0,0,0.686930091,0,0,0,0.313069909
5JTE,0,3,0,0,1,0,3,0,0,0.428571429,0,0,0.142857143,0,0.428571429,0
5JU8,0,2,0,0,0,0,3,0,0,0.4,0,0,0,0,0.6,0
5JUO,0,371,0,4,795,49,4,0,0,0.303352412,0,0.003270646,0.650040883,0.040065413,0.003270646,0
5JUP,0,503,0,6,800,35,5,0,0,0.372868792,0,0.004447739,0.593031875,0.025945145,0.003706449,0
5JUS,0,409,0,6,808,45,7,0,0,0.320784314,0,0.004705882,0.63372549,0.035294118,0.005490196,0
5JUT,0,443,0,4,774,62,5,0,0,0.343944099,0,0.00310559,0.600931677,0.048136646,0.003881988,0
5JUU,0,476,0,7,809,60,5,0,0,0.350773766,0,0.005158438,0.596168018,0.044215181,0.003684598,0
5KPV,0,201,0,46,256,12,64,8,0,0.34241908,0,0.078364566,0.436115843,0.02044293,0.109028961,0.01362862
5KPW,0,210,0,47,273,14,69,5,0,0.339805825,0,0.07605178,0.441747573,0.022653722,0.111650485,0.008090615
5KPX,0,197,0,51,266,13,65,5,0,0.32998325,0,0.085427136,0.445561139,0.021775544,0.108877722,0.008375209
5LI0,0,109,0,12,193,16,24,1,0,0.307042254,0,0.033802817,0.543661972,0.045070423,0.067605634,0.002816901
5LKS,0,0,0,1,5,0,5,1,0,0,0,0.083333333,0.416666667,0,0.416666667,0.083333333
5LZA,0,214,0,19,212,12,27,0,0,0.44214876,0,0.039256198,0.438016529,0.024793388,0.055785124,0
5LZB,0,179,0,21,265,25,36,0,0,0.340304183,0,0.039923954,0.503802281,0.047528517,0.068441065,0
5LZC,0,201,0,25,270,21,26,2,0,0.368807339,0,0.04587156,0.495412844,0.03853211,0.047706422,0.003669725
5LZD,0,225,0,20,276,14,35,1,0,0.394045534,0,0.03502627,0.483362522,0.024518389,0.061295972,0.001751313
5LZE,0,201,0,24,221,13,32,1,0,0.408536585,0,0.048780488,0.449186992,0.026422764,0.06504065,0.00203252
5LZF,0,176,0,17,225,16,33,2,0,0.375266525,0,0.036247335,0.479744136,0.034115139,0.070362473,0.004264392
5LZS,0,611,0,0,844,32,0,0,0,0.410894418,0,0,0.567585743,0.021519839,0,0
5LZT,0,605,0,1,860,29,11,1,0,0.401459854,0,0.00066357,0.570670206,0.01924353,0.00729927,0.00066357
5LZU,0,613,0,0,834,32,2,0,0,0.413909521,0,0,0.563133018,0.021607022,0.001350439,0
5LZV,0,598,0,1,840,28,11,1,0,0.404327248,0,0.000676133,0.567951318,0.018931711,0.007437458,0.000676133
5LZW,0,580,0,1,830,23,10,1,0,0.401384083,0,0.000692042,0.574394464,0.015916955,0.006920415,0.000692042
5LZX,0,589,0,1,830,22,5,1,0,0.406767956,0,0.000690608,0.57320442,0.01519337,0.003453039,0.000690608
5LZY,0,593,0,0,818,25,2,0,0,0.412378303,0,0,0.568845619,0.017385257,0.001390821,0
5LZZ,0,585,0,2,850,21,5,1,0,0.399590164,0,0.00136612,0.580601093,0.014344262,0.003415301,0.00068306
5M1J,0,440,0,0,714,22,2,1,0,0.373197625,0,0,0.605597964,0.018659881,0.001696353,0.000848176
5MC6,0,147,0,196,228,19,288,15,0,0.164613662,0,0.219484882,0.255319149,0.021276596,0.322508399,0.016797312
5MDV,0,316,0,0,391,16,0,0,0,0.437067773,0,0,0.540802213,0.022130014,0,0
5MDW,0,297,0,0,380,17,0,0,0,0.42795389,0,0,0.547550432,0.024495677,0,0
5MDY,0,280,0,0,345,15,0,0,0,0.4375,0,0,0.5390625,0.0234375,0,0
5MDZ,0,299,0,0,361,16,0,0,0,0.442307692,0,0,0.534023669,0.023668639,0,0
5MEI,0,1197,0,6,1599,94,17,2,0,0.410634648,0,0.002058319,0.548542024,0.032246998,0.005831904,0.000686106
5MGP,0,236,0,21,276,16,32,0,0,0.406196213,0,0.036144578,0.475043029,0.027538726,0.055077453,0
5MMM,0,237,0,40,293,8,58,2,0,0.371473354,0,0.062695925,0.459247649,0.012539185,0.090909091,0.003134796
5MRC,0,229,0,121,440,21,343,19,0,0.195225916,0,0.103154305,0.375106564,0.017902813,0.292412617,0.016197783
5MRE,0,230,0,125,441,21,344,19,0,0.194915254,0,0.105932203,0.373728814,0.01779661,0.291525424,0.016101695
5MRF,0,231,0,121,442,24,343,17,0,0.196095076,0,0.102716469,0.375212224,0.020373514,0.291171477,0.014431239
5MYJ,0,1,0,0,0,0,4,0,0,0.2,0,0,0,0,0.8,0
5NCO,0,193,0,0,202,15,0,0,0,0.470731707,0,0,0.492682927,0.036585366,0,0
5ND8,0,109,0,21,233,20,29,1,0,0.263922518,0,0.050847458,0.564164649,0.04842615,0.070217918,0.002421308
5ND9,0,98,0,15,232,22,32,0,0,0.245614035,0,0.037593985,0.581453634,0.055137845,0.080200501,0
5NDG,0,1174,0,0,1655,110,0,0,0,0.399455597,0,0,0.563116706,0.037427696,0,0
5NDJ,0,488,0,2,608,34,2,0,0,0.430335097,0,0.001763668,0.536155203,0.029982363,0.001763668,0
5NDK,0,496,0,2,625,39,2,0,0,0.426116838,0,0.001718213,0.536941581,0.033505155,0.001718213,0
5NDV,0,1132,0,0,1612,104,0,0,0,0.39747191,0,0,0.566011236,0.036516854,0,0
5NDW,0,1179,0,0,1592,89,0,0,0,0.412237762,0,0,0.556643357,0.031118881,0,0
5NJT,0,210,0,0,206,23,0,1,0,0.477272727,0,0,0.468181818,0.052272727,0,0.002272727
5NP6,0,182,0,24,257,25,39,4,0,0.342749529,0,0.04519774,0.483992467,0.047080979,0.073446328,0.007532957
5NWY,0,266,0,1,376,19,7,0,0,0.397608371,0,0.001494768,0.562032885,0.028400598,0.010463378,0
5O2R,0,228,0,23,282,16,40,1,0,0.386440678,0,0.038983051,0.477966102,0.027118644,0.06779661,0.001694915
5OBM,0,1215,0,0,1638,102,0,0,0,0.411167513,0,0,0.554314721,0.034517766,0,0
5ON6,0,1179,0,6,1615,90,14,2,0,0.405712319,0,0.002064694,0.555746731,0.030970406,0.004817619,0.000688231
5OT7,0,185,0,0,340,15,0,0,0,0.342592593,0,0,0.62962963,0.027777778,0,0
5T2A,0,474,0,16,798,39,24,0,0,0.350851221,0,0.011843079,0.590673575,0.028867506,0.017764619,0
5T2C,0,286,0,0,442,11,0,0,0,0.387009472,0,0,0.598105548,0.01488498,0,0
5T5H,0,358,0,0,529,30,0,0,0,0.39040349,0,0,0.576881134,0.032715376,0,0
5T62,0,359,0,0,435,14,0,0,0,0.444306931,0,0,0.538366337,0.017326733,0,0
5T6R,0,335,0,0,398,15,0,0,0,0.447860963,0,0,0.532085561,0.020053476,0,0
5T7V,0,130,0,0,160,7,0,0,0,0.437710438,0,0,0.538720539,0.023569024,0,0
