PDBID,Total HBOND,Total VDW,Control
4V4J,0.307692308,0.692307692,1
4V4N,0,1,1
4V4P,0,1,1
4V4Q,0.428571429,0.571428571,1
4V4R,0.166666667,0.833333333,1
4V4S,0.166666667,0.833333333,1
4V4T,0.125,0.875,1
4V4V,0,1,1
4V4W,0,1,1
4V4X,0.25,0.75,1
4V4Y,0.222222222,0.777777778,1
4V4Z,0.333333333,0.666666667,1
4V50,0.1,0.9,1
4V51,0.19047619,0.80952381,1
4V52,0,1,1
4V53,0,1,1
4V54,0,1,1
4V55,0,1,1
4V56,0,1,1
4V57,0,1,1
4V5A,0.25,0.75,1
4V5B,0.666666667,0.333333333,1
4V5C,0.333333333,0.666666667,1
4V5D,0.2,0.8,1
4V5E,0.319148936,0.680851064,1
4V5F,0.033333333,0.966666667,1
4V5G,0.173913043,0.826086957,1
4V5H,0.125,0.875,1
4V5J,0.204081633,0.795918367,1
4V5K,0.230769231,0.769230769,1
4V5L,0.25,0.75,1
4V5M,0,1,1
4V5N,0,1,1
4V5O,0,1,1
4V5P,0.166666667,0.833333333,1
4V5Q,0.333333333,0.666666667,1
4V5R,0.222222222,0.777777778,1
4V5S,0.2,0.8,1
4V5Y,0,1,1
4V61,0.153846154,0.846153846,1
4V63,0.306122449,0.693877551,1
4V64,0,1,1
4V65,0.454545455,0.545454545,1
4V66,0.428571429,0.571428571,1
4V67,0.28,0.72,1
4V68,0.125,0.875,1
4V69,0.1875,0.8125,1
4V6A,0.352941176,0.647058824,1
4V6C,0,1,1
4V6D,0,1,1
4V6E,0.2,0.8,1
4V6F,0.16,0.84,1
4V6G,0.2,0.8,1
4V6I,0.355167394,0.644832606,1
4V6K,0.25,0.75,1
4V6L,0.333333333,0.666666667,1
4V6M,0.12,0.88,1
4V6N,0.210526316,0.789473684,1
4V6O,0.294117647,0.705882353,1
4V6P,0.263157895,0.736842105,1
4V6Q,0.466666667,0.533333333,1
4V6R,0.421052632,0.578947368,1
4V6S,0.230769231,0.769230769,1
4V6T,0.363636364,0.636363636,1
4V6U,0.166666667,0.833333333,1
4V6V,0.228571429,0.771428571,1
4V6W,0.302545455,0.697454545,1
4V6X,0.346226415,0.653773585,1
4V6Y,0.142857143,0.857142857,1
4V6Z,0,1,1
4V70,0.142857143,0.857142857,1
4V71,0.25,0.75,1
4V72,0.090909091,0.909090909,1
4V73,0,1,1
4V74,0,1,1
4V75,0.2,0.8,1
4V76,0,1,1
4V77,0.4,0.6,1
4V78,0,1,1
4V79,0,1,1
4V7A,0.25,0.75,1
4V7B,0,1,1
4V7C,0.333333333,0.666666667,1
4V7D,0.2,0.8,1
4V7E,0.262766945,0.737233055,1
4V7H,0.236842105,0.763157895,1
4V7I,0.166666667,0.833333333,1
4V7L,0.421052632,0.578947368,1
4V7M,0.235294118,0.764705882,1
4V7P,0.275862069,0.724137931,1
4V7R,0.5,0.5,1
4V7S,0,1,1
4V7T,0,1,1
4V7U,0,1,1
4V7V,0,1,1
4V7W,0.181818182,0.818181818,1
4V7X,0.272727273,0.727272727,1
4V7Y,0.272727273,0.727272727,1
4V7Z,0.166666667,0.833333333,1
5IT8,0.266666667,0.733333333,1
5J30,0.333333333,0.666666667,1
5J3C,0.272727273,0.727272727,1
5J4D,0.463029433,0.536970567,1
5J5B,0.230769231,0.769230769,1
5J7L,0.214285714,0.785714286,1
5J88,0.176470588,0.823529412,1
5J8A,0.176470588,0.823529412,1
5J8B,0.446753247,0.553246753,1
5J91,0.230769231,0.769230769,1
5JC9,0.2,0.8,1
5JCS,0.686930091,0.313069909,1
5JTE,0.428571429,0.571428571,1
5JU8,0.4,0.6,1
5JUO,0.306623058,0.693376942,1
5JUP,0.377316531,0.622683469,1
5JUS,0.325490196,0.674509804,1
5JUT,0.347049689,0.652950311,1
5JUU,0.355932203,0.644067797,1
5KPV,0.420783646,0.579216354,1
5KPW,0.415857605,0.584142395,1
5KPX,0.415410385,0.584589615,1
5LI0,0.34084507,0.65915493,1
5LKS,0.083333333,0.916666667,1
5LZA,0.481404959,0.518595041,1
5LZB,0.380228137,0.619771863,1
5LZC,0.414678899,0.585321101,1
5LZD,0.429071804,0.570928196,1
5LZE,0.457317073,0.542682927,1
5LZF,0.411513859,0.588486141,1
5LZS,0.410894418,0.589105582,1
5LZT,0.402123424,0.597876576,1
5LZU,0.413909521,0.586090479,1
5LZV,0.405003381,0.594996619,1
5LZW,0.402076125,0.597923875,1
5LZX,0.407458564,0.592541436,1
5LZY,0.412378303,0.587621697,1
5LZZ,0.400956284,0.599043716,1
5M1J,0.373197625,0.626802375,1
5MC6,0.384098544,0.615901456,1
5MDV,0.437067773,0.562932227,1
5MDW,0.42795389,0.57204611,1
5MDY,0.4375,0.5625,1
5MDZ,0.442307692,0.557692308,1
5MEI,0.412692967,0.587307033,1
5MGP,0.442340792,0.557659208,1
5MMM,0.434169279,0.565830721,1
5MRC,0.298380222,0.701619778,1
5MRE,0.300847458,0.699152542,1
5MRF,0.298811545,0.701188455,1
5MYJ,0.2,0.8,1
5NCO,0.470731707,0.529268293,1
5ND8,0.314769976,0.685230024,1
5ND9,0.28320802,0.71679198,1
5NDG,0.399455597,0.600544403,1
5NDJ,0.432098765,0.567901235,1
5NDK,0.427835052,0.572164948,1
5NDV,0.39747191,0.60252809,1
5NDW,0.412237762,0.587762238,1
5NJT,0.477272727,0.522727273,1
5NP6,0.387947269,0.612052731,1
5NWY,0.399103139,0.600896861,1
5O2R,0.425423729,0.574576271,1
5OBM,0.411167513,0.588832487,1
5ON6,0.407777013,0.592222987,1
5OT7,0.342592593,0.657407407,1
5T2A,0.362694301,0.637305699,1
5T2C,0.387009472,0.612990528,1
5T5H,0.39040349,0.60959651,1
5T62,0.444306931,0.555693069,1
5T6R,0.447860963,0.552139037,1
5T7V,0.437710438,0.562289562,1
5TBW,0.414505825,0.585494175,1
5TCU,0.423631124,0.576368876,1
5TGA,0.404654394,0.595345606,1
5TGM,0.394535519,0.605464481,1
5U4I,0.42003231,0.57996769,1
5U9F,0.447727273,0.552272727,1
5U9G,0.438228438,0.561771562,1
5UMD,0.391752577,0.608247423,1
5UQ7,0.416273585,0.583726415,1
5UQ8,0.416666667,0.583333333,1
5UYK,0.446555819,0.553444181,1
5UYL,0.458033573,0.541966427,1
5UYM,0.463302752,0.536697248,1
5UYN,0.433707865,0.566292135,1
5UYP,0.436681223,0.563318777,1
5UYQ,0.419282511,0.580717489,1
5V93,0.34009009,0.65990991,1
5VPP,0,1,1
5VYC,0.315962441,0.684037559,1
5W4K,0.142857143,0.857142857,1
5WDT,0.411676647,0.588323353,1
5WE4,0.41089838,0.58910162,1
5WE6,0.445438283,0.554561717,1
5WF0,0.426127527,0.573872473,1
5WFK,0.420970266,0.579029734,1
5WFS,0.438202247,0.561797753,1
5WLC,0.231759657,0.768240343,1
5X8P,0.355513308,0.644486692,1
5XXB,0.454061252,0.545938748,1
5XY3,0.456790123,0.543209877,1
5YDT,0,1,1
5ZEB,0.39100346,0.60899654,1
5ZEP,0.374183007,0.625816993,1
5ZLU,0.320699708,0.679300292,1
6AWB,0.292929293,0.707070707,1
6AWC,0.309278351,0.690721649,1
6AWD,0.352941176,0.647058824,1
6AZ3,0.380857428,0.619142572,1
6B4V,0.470724191,0.529275809,1
6BOK,0.498130142,0.501869858,1
6BU8,0.489130435,0.510869565,1
6BUW,0.235294118,0.764705882,1
6BY1,0.5,0.5,1
6BZ6,0.166666667,0.833333333,1
6BZ7,0.25,0.75,1
6BZ8,0.214285714,0.785714286,1
6C4I,0.432032301,0.567967699,1
6C5L,0.23255814,0.76744186,1
6CAE,0.25,0.75,1
6D90,0.40070922,0.59929078,1
6D9J,0.315098468,0.684901532,1
6DNC,0.44950495,0.55049505,1
6DZI,0.325056433,0.674943567,1
6EM1,0.309197652,0.690802348,1
6ENF,0.404371585,0.595628415,1
6ENJ,0.433070866,0.566929134,1
6ENU,0.418803419,0.581196581,1
6ERI,0,1,1
6FEC,0.317683881,0.682316119,1
6FRK,0.399782135,0.600217865,1
6FXC,0,1,1
6FYX,0.37521815,0.62478185,1
6FYY,0.369127517,0.630872483,1
6GAW,0.230769231,0.769230769,1
6GAZ,0.357142857,0.642857143,1
6GB2,0.4,0.6,1
6GQ1,0.335190344,0.664809656,1
6GQB,0.355093966,0.644906034,1
6GQV,0.34345351,0.65654649,1
6GSJ,0.428822496,0.571177504,1
6GSK,0.433857539,0.566142461,1
6GSL,0.444343891,0.555656109,1
6GSM,0.364705882,0.635294118,1
6GSN,0.398305085,0.601694915,1
6GWT,0.371584699,0.628415301,1
6GXM,0.362162162,0.637837838,1
6GXN,0.375,0.625,1
6GXO,0.347442681,0.652557319,1
6GXP,0.340956341,0.659043659,1
6GZ3,0.1875,0.8125,1
6GZ4,0.19047619,0.80952381,1
6GZ5,0.2,0.8,1
6GZQ,0.43,0.57,1
6GZX,0.353658537,0.646341463,1
6GZZ,0.337349398,0.662650602,1
6H4N,0.434554974,0.565445026,1
6H58,0.435047951,0.564952049,1
6HA1,0.403685092,0.596314908,1
6HA8,0.396193772,0.603806228,1
6HCF,0.351637765,0.648362235,1
6HCJ,0.355184744,0.644815256,1
6HCM,0.351299326,0.648700674,1
6HCQ,0.354993983,0.645006017,1
6HHQ,0.404066543,0.595933457,1
6HIV,0.184331797,0.815668203,1
6HIW,0.211382114,0.788617886,1
6HIX,0.142011834,0.857988166,1
6HIY,0.183333333,0.816666667,1
6HIZ,0.208633094,0.791366906,1
6HRM,0.438848921,0.561151079,1
6HTQ,0.365137615,0.634862385,1
6I7O,0.326437941,0.673562059,1
6I7V,0.851851852,0.148148148,1
6I9R,0.277777778,0.722222222,1
6IP5,0.335579515,0.664420485,1
6IP6,0.337333333,0.662666667,1
6IP8,0.370317003,0.629682997,1
6LKQ,0.405676127,0.594323873,1
6LQM,0.391504018,0.608495982,1
6LSR,0.381969158,0.618030842,1
6LSS,0.383413462,0.616586538,1
6LU8,0.38869258,0.61130742,1
6M62,0.325503356,0.674496644,1
6MTB,0.396282528,0.603717472,1
6MTC,0.401486989,0.598513011,1
6MTD,0.405722671,0.594277329,1
6MTE,0.391812865,0.608187135,1
6N1D,0,1,1
6N8J,0.402472527,0.597527473,1
6N8K,0.392458101,0.607541899,1
6N8L,0.38961039,0.61038961,1
6N8M,0.438356164,0.561643836,1
6N8N,0.409589041,0.590410959,1
6N8O,0.420911528,0.579088472,1
6NDK,0.25,0.75,1
6NSH,0.176470588,0.823529412,1
6NTA,0.153846154,0.846153846,1
6NU2,0.679358717,0.320641283,1
6NU3,0.666037736,0.333962264,1
6NUO,0.263157895,0.736842105,1
6NWY,0.181818182,0.818181818,1
6O3M,0.181818182,0.818181818,1
6O8W,0.427440633,0.572559367,1
6O8X,0.43220339,0.56779661,1
6O8Y,0.356265356,0.643734644,1
6O8Z,0.451351351,0.548648649,1
6O90,0.455284553,0.544715447,1
6O9J,0.278982092,0.721017908,1
6O9K,0.487037037,0.512962963,1
6OF6,0.2,0.8,1
6OFX,0.452991453,0.547008547,1
6OG7,0.447706422,0.552293578,1
6OGF,0.43728223,0.56271777,1
6OGG,0.325744308,0.674255692,1
6OGI,0.437168142,0.562831858,1
6OIG,0.282991202,0.717008798,1
6OJ2,0.260869565,0.739130435,1
6OLE,0.377653631,0.622346369,1
6OLF,0.353612167,0.646387833,1
6OLG,0,1,1
6OLI,0.378063011,0.621936989,1
6OLZ,0.111111111,0.888888889,1
6OM0,0.375283447,0.624716553,1
6OM6,0.441358025,0.558641975,1
6OM7,0.3424821,0.6575179,1
6OPE,0.172413793,0.827586207,1
6ORD,0.1875,0.8125,1
6ORE,0.43875969,0.56124031,1
6ORL,0.411764706,0.588235294,1
6OSI,0.142857143,0.857142857,1
6OSK,0.4128,0.5872,1
6OSQ,0.411856474,0.588143526,1
6OST,0.401388889,0.598611111,1
6OT3,0.404545455,0.595454545,1
6OTR,0.222222222,0.777777778,1
6OUO,0.404287902,0.595712098,1
6OXA,0.294117647,0.705882353,1
6OXI,0.157894737,0.842105263,1
6P5I,0.389908257,0.610091743,1
6P5J,0.386395512,0.613604488,1
6P5K,0.384203481,0.615796519,1
6P5N,0.393828068,0.606171932,1
6PJ6,0.773790952,0.226209048,1
6Q8Y,0.369463869,0.630536131,1
6Q95,0.387254902,0.612745098,1
6Q97,0.406639004,0.593360996,1
6Q98,0.388384755,0.611615245,1
6Q9A,0.412811388,0.587188612,1
6QIK,0.366666667,0.633333333,1
6QNQ,0.459692898,0.540307102,1
6QNR,0.436408978,0.563591022,1
6QT0,0.418663304,0.581336696,1
6QTZ,0.378342246,0.621657754,1
6QZP,0.153846154,0.846153846,1
6R5Q,0.377289377,0.622710623,1
6R6G,0.367330677,0.632669323,1
6R6P,0.35589172,0.64410828,1
6R7Q,0.388773389,0.611226611,1
6R84,0.40316687,0.59683313,1
6R86,0.407542579,0.592457421,1
6R87,0.404481132,0.595518868,1
6RI5,0.380888291,0.619111709,1
6RM3,0,1,1
6RW4,0.709774436,0.290225564,1
6RW5,0.722222222,0.277777778,1
6RXY,0.188172043,0.811827957,1
6RZZ,0.413043478,0.586956522,1
6S05,0.379542396,0.620457604,1
6S0X,0.356294537,0.643705463,1
6S13,0.640195209,0.359804791,1
6S47,0.333333333,0.666666667,1
6SG9,0.141025641,0.858974359,1
6SGA,0.222222222,0.777777778,1
6SGB,0.190972222,0.809027778,1
6SGC,0.394366197,0.605633803,1
6SKF,0,1,1
6SKG,0.125,0.875,1
6SNT,0.386035313,0.613964687,1
6SPF,0.387559809,0.612440191,1
6SPG,0.455263158,0.544736842,1
6SV4,0.319894499,0.680105501,1
6SWA,0.345817728,0.654182272,1
6SXO,0.25,0.75,1
6SZS,0.416129032,0.583870968,1
6T4Q,0.396788991,0.603211009,1
6T7I,0.358792185,0.641207815,1
6T7T,0.373906126,0.626093874,1
6T83,0.340160643,0.659839357,1
6TB3,0.37989418,0.62010582,1
6TBV,0.462199313,0.537800687,1
6TC3,0.454388985,0.545611015,1
6TH6,0.090909091,0.909090909,1
6TNU,0.32793959,0.67206041,1
6U48,1,0,1
6UTV,0.138888889,0.861111111,1
6UTW,0.184210526,0.815789474,1
6UTZ,0.151515152,0.848484848,1
6UU0,0.142857143,0.857142857,1
6UU1,0.25,0.75,1
6UU2,0.114285714,0.885714286,1
6UU3,0.214285714,0.785714286,1
6UU4,0.166666667,0.833333333,1
6UU5,0.171428571,0.828571429,1
6UU6,0.147058824,0.852941176,1
6UU8,0.238095238,0.761904762,1
6UU9,0.178571429,0.821428571,1
6UUC,0.171428571,0.828571429,1
6UZ7,0.434826884,0.565173116,1
6V39,0.438554217,0.561445783,1
6V3A,0.435483871,0.564516129,1
6V3B,0.432304038,0.567695962,1
6V3D,0.43902439,0.56097561,1
6V3E,0.341085271,0.658914729,1
6VLZ,0.234883721,0.765116279,1
6VMI,0.231481481,0.768518519,1
6VU3,0.814796175,0.185203825,1
6VWL,0.4416826,0.5583174,1
6VWM,0.42209073,0.57790927,1
6VWN,0.427184466,0.572815534,1
6VYQ,0.814926878,0.185073122,1
6VYR,0.814070352,0.185929648,1
6VYS,0.81474003,0.18525997,1
6VYT,0.818319838,0.181680162,1
6VYU,0.818917552,0.181082448,1
6VYW,0.818734177,0.181265823,1
6VYX,0.819564116,0.180435884,1
6VYY,0.818642351,0.181357649,1
6VYZ,0.819148936,0.180851064,1
6VZ2,0.818458418,0.181541582,1
6VZ3,0.818319838,0.181680162,1
6VZ5,0.818642351,0.181357649,1
6VZ7,0.818734177,0.181265823,1
6VZJ,0.814833502,0.185166498,1
6W2S,0.393401015,0.606598985,1
6W2T,0.393483709,0.606516291,1
6W6L,0.765586035,0.234413965,1
6W6P,0.465227818,0.534772182,1
6WD0,0.460207612,0.539792388,1
6WD1,0.446153846,0.553846154,1
6WD2,0.418563923,0.581436077,1
6WD3,0.435483871,0.564516129,1
6WD4,0.421328671,0.578671329,1
6WD5,0.423208191,0.576791809,1
6WD6,0.430879713,0.569120287,1
6WD7,0.414104882,0.585895118,1
6WD8,0.426024955,0.573975045,1
6WD9,0.425347222,0.574652778,1
6WDA,0.436300175,0.563699825,1
6WDB,0.424778761,0.575221239,1
6WDC,0.421252372,0.578747628,1
6WDD,0.454706927,0.545293073,1
6WDE,0.461928934,0.538071066,1
6WDF,0.424860853,0.575139147,1
6WDG,0.426116838,0.573883162,1
6WDH,0.407407407,0.592592593,1
6WDI,0.422932331,0.577067669,1
6WDJ,0.434628975,0.565371025,1
6WDK,0.429840142,0.570159858,1
6WDL,0.422661871,0.577338129,1
6WDM,0.435008666,0.564991334,1
6WNV,0.424682396,0.575317604,1
6WNW,0.423670669,0.576329331,1
6WOO,0.38573508,0.61426492,1
6X6T,0.814177215,0.185822785,1
6X7F,0.815002534,0.184997466,1
6X7K,0.81408308,0.18591692,1
6X9Q,0.81408308,0.18591692,1
6XA1,0.19047619,0.80952381,1
6XDQ,0.813576494,0.186423506,1
6 XDR,0.813074566,0.186925434,1
6XGF,0.813074566,0.186925434,1
6XII,0.813810742,0.186189258,1
6XIJ,0.81505811,0.18494189,1
6XIQ,0.749428789,0.250571211,1
6XIR,0.346573982,0.653426018,1
4V8A,0.230769231,0.769230769,1
4V8B,0.2,0.8,1
4V8C,0.181818182,0.818181818,1
4V8D,0.125,0.875,1
4V8E,0.2,0.8,1
4V8F,0.166666667,0.833333333,1
4V8G,0.333333333,0.666666667,1
4V8H,0.272727273,0.727272727,1
4V8I,0.25,0.75,1
4V8J,0.193548387,0.806451613,1
4V8M,0.2,0.8,1
4V8N,0.092592593,0.907407407,1
4V8O,0.333333333,0.666666667,1
4V8P,0.41340331,0.58659669,1
4V8Q,0.090909091,0.909090909,1
4V8T,0.40593047,0.59406953,1
4V8U,0,1,1
4V8X,0.2,0.8,1
4V8Y,0.373417722,0.626582278,1
4V8Z,0.364583333,0.635416667,1
4V90,0,1,1
4V91,0.397075366,0.602924634,1
4V95,0.464285714,0.535714286,1
4V97,0.25,0.75,1
4V9A,0.210526316,0.789473684,1
4V9B,0.176470588,0.823529412,1
4V9C,0.161290323,0.838709677,1
4V9D,0.185185185,0.814814815,1
4V9F,0.517412935,0.482587065,1
4V9H,0.153846154,0.846153846,1
4V9I,0.210526316,0.789473684,1
4V9J,0.074074074,0.925925926,1
4V9K,0.153846154,0.846153846,1
4V9L,0.178571429,0.821428571,1
4V9M,0.076923077,0.923076923,1
4V9N,0.208333333,0.791666667,1
4V9O,0.136363636,0.863636364,1
4V9P,0.142857143,0.857142857,1
4V9Q,0.277777778,0.722222222,1
4V9R,0.3125,0.6875,1
4V9S,0.294117647,0.705882353,1
4W29,0,1,1
4W2E,0.452991453,0.547008547,1
4W2F,0.235294118,0.764705882,1
4W2G,0.25,0.75,1
4W2H,0.277777778,0.722222222,1
4W2I,0.25,0.75,1
4W4G,0.315789474,0.684210526,1
4WF1,0.3,0.7,1
4WPO,0.136363636,0.863636364,1
4WQ1,0.435440784,0.564559216,1
4WQF,0.142857143,0.857142857,1
4WQR,0.438692098,0.561307902,1
4WQS,0.277777778,0.722222222,1
4WQU,0.238095238,0.761904762,1
4WQY,0.173913043,0.826086957,1
4WR6,0.444756554,0.555243446,1
4WRA,0.440375587,0.559624413,1
4WRO,0.452339688,0.547660312,1
4WSD,0.444856348,0.555143652,1
4WSM,0.448467967,0.551532033,1
4WT1,0.443438914,0.556561086,1
4WT8,0.142857143,0.857142857,1
4WU1,0.452732003,0.547267997,1
4WWW,0,1,1
4WZD,0.444166667,0.555833333,1
4WZM,0.333333333,0.666666667,1
4WZO,0.443502825,0.556497175,1
4XEJ,0,1,1
4YBB,0.230769231,0.769230769,1
4YPB,0.315789474,0.684210526,1
4YZV,0.277777778,0.722222222,1
4ZSN,0.235294118,0.764705882,1
5A9Z,0.083333333,0.916666667,1
5AA0,0.076923077,0.923076923,1
5AFI,0.427135678,0.572864322,1
5AJ0,0.090909091,0.909090909,1
5AJ4,0,0,0
5APN,0.407058824,0.592941176,1
5APO,0.43361754,0.56638246,1
5BKL,0.836734694,0.163265306,1
5BKN,0.967741935,0.032258065,1
5CZP,0.226415094,0.773584906,1
5D8B,0.451932607,0.548067393,1
5DAT,0.396873938,0.603126062,1
5DC3,0.397526502,0.602473498,1
5DFE,0.19047619,0.80952381,1
5DGE,0.410764873,0.589235127,1
5DGF,0.390871654,0.609128346,1
5DGV,0.400347826,0.599652174,1
5E7K,0.442727273,0.557272727,1
5.00E+81,0.431798436,0.568201564,1
5EL4,0.438675022,0.561324978,1
5EL5,0.444954128,0.555045872,1
5EL6,0.443655723,0.556344277,1
5EL7,0.450045005,0.549954995,1
5EPI,0.318181818,0.681818182,1
5FCI,0.406553835,0.593446165,1
5FCJ,0.4054242,0.5945758,1
5FL8,0.672354949,0.327645051,1
5GAK,0.34672619,0.65327381,1
5H4P,0.405988024,0.594011976,1
5H5U,0.498349835,0.501650165,1
5I4L,0.4,0.6,1
5I9H,0,1,1
5IB7,0.427826087,0.572173913,1
5IB8,0.430335097,0.569664903,1
5IBB,0.418930762,0.581069238,1
5IMQ,0.281376518,0.718623482,1
5IMR,0.268431002,0.731568998,1
5IQR,0.412066752,0.587933248,1
5IT8,0.266666667,0.733333333,1
6XU6,0.329411765,0.670588235,1
6XU7,0.255852843,0.744147157,1
6XU8,0.341121495,0.658878505,1
6XYW,0.325411335,0.674588665,1
6XZA,0.467320261,0.532679739,1
6XZB,0.46742671,0.53257329,1
6XZD,0.454545455,0.545454545,1
6XZG,0.615384615,0.384615385,1
6XZP,0.421052632,0.578947368,1
6XZR,0.526315789,0.473684211,1
6Y0C,0.444444444,0.555555556,1
6Y0G,0.217391304,0.782608696,1
6Y2L,0.176470588,0.823529412,1
6Y57,0.210526316,0.789473684,1
6Y69,0.44093178,0.55906822,1
6YAM,0.378698225,0.621301775,1
6YDP,0,1,1
6YDW,0.333333333,0.666666667,1
6YEF,0.430769231,0.569230769,1
6YLG,0.325287356,0.674712644,1
6YLH,0.323428571,0.676571429,1
6YLX,0.278582931,0.721417069,1
6YLY,0.288326301,0.711673699,1
6YSR,0.418978102,0.581021898,1
6YST,0.405209841,0.594790159,1
6YSU,0.414285714,0.585714286,1
6YW5,0.786836935,0.213163065,1
6YWE,0.759072581,0.240927419,1
6YWO,0,1,1
6YWS,0.74763564,0.25236436,1
6YWV,0.748740907,0.251259093,1
6YWX,0.760936962,0.239063038,1
6YWY,0.757998639,0.242001361,1
6YXX,0.175925926,0.824074074,1
6YXY,0.199063232,0.800936768,1
6Z1P,0.722222222,0.277777778,1
6Z6B,0.173913043,0.826086957,1
6Z6J,0.394557823,0.605442177,1
6Z6K,0.396880416,0.603119584,1
6Z6L,0.130434783,0.869565217,1
6Z6M,0.113636364,0.886363636,1
6Z6N,0.194444444,0.805555556,1
6ZJ3,0.260869565,0.739130435,1
6ZM5,0.720451527,0.279548473,1
6ZM6,0.729551451,0.270448549,1
6ZM7,0.266666667,0.733333333,1
6ZME,0.222222222,0.777777778,1
6ZMI,0.166666667,0.833333333,1
6ZMO,0.15625,0.84375,1
6ZMW,0.397022333,0.602977667,1
6ZON,0.359090909,0.640909091,1
6ZP4,0.412698413,0.587301587,1
6ZS9,0.694394213,0.305605787,1
6ZSA,0.704174229,0.295825771,1
6ZSB,0.714532872,0.285467128,1
6ZSC,0.685152057,0.314847943,1
6ZSD,0.690909091,0.309090909,1
6ZSE,0.703642384,0.296357616,1
6ZSG,0.694545455,0.305454545,1
6ZTJ,0.090909091,0.909090909,1
6ZTL,0.111111111,0.888888889,1
6ZTM,0.222222222,0.777777778,1
6ZTN,0.285714286,0.714285714,1
6ZTO,0.181818182,0.818181818,1
6ZTP,0.181818182,0.818181818,1
6ZU1,0.181818182,0.818181818,1
6ZU5,0.375,0.625,1
6ZVJ,0.370149254,0.629850746,1
6ZVK,0.349303136,0.650696864,1
7A01,0.320512821,0.679487179,1
7A09,0.395604396,0.604395604,1
7A5F,0.282517483,0.717482517,1
7A5G,0.282578875,0.717421125,1
7A5H,0.310986965,0.689013035,1
7A5I,0.282639885,0.717360115,1
7A5J,0.313186813,0.686813187,1
7A5K,0.27176781,0.72823219,1
7ABZ,0.375874126,0.624125874,1
7AC7,0.390681004,0.609318996,1
7ACJ,0.362393162,0.637606838,1
7ACR,0.35016835,0.64983165,1
7AIH,0.195918367,0.804081633,1
7AM2,0.224347826,0.775652174,1
7ANE,0.204391892,0.795608108,1
7ASE,0.278422274,0.721577726,1
7ASO,0.313679245,0.686320755,1
