PDBID,Total MC,Total SD,Control
5J30,0.388888889,0.611111111,1
5J3C,0.340909091,0.659090909,1
5J4D,0.496769562,0.503230438,1
5J5B,0.230769231,0.769230769,1
5J7L,0.214285714,0.785714286,1
5J88,0.235294118,0.764705882,1
5J8A,0.235294118,0.764705882,1
5J8B,0.480519481,0.519480519,1
5J91,0.230769231,0.769230769,1
5JC9,0.2,0.8,1
5JCS,1,0,1
5JTE,0.428571429,0.571428571,1
5JU8,0.4,0.6,1
5JUO,0.346688471,0.653311529,1
5JUP,0.403261675,0.596738325,1
5JUS,0.360784314,0.639215686,1
5JUT,0.395186335,0.604813665,1
5JUU,0.400147384,0.599852616,1
5KPV,0.454855196,0.545144804,1
5KPW,0.446601942,0.553398058,1
5KPX,0.445561139,0.554438861,1
5LI0,0.388732394,0.611267606,1
5LKS,0.166666667,0.833333333,1
5LZA,0.506198347,0.493801653,1
5LZB,0.427756654,0.572243346,1
5LZC,0.456880734,0.543119266,1
5LZD,0.455341506,0.544658494,1
5LZE,0.485772358,0.514227642,1
5LZF,0.44989339,0.55010661,1
5LZS,0.432414257,0.567585743,1
5LZT,0.422030524,0.577969476,1
5LZU,0.435516543,0.564483457,1
5LZV,0.424611224,0.575388776,1
5LZW,0.418685121,0.581314879,1
5LZX,0.423342541,0.576657459,1
5LZY,0.429763561,0.570236439,1
5LZZ,0.415983607,0.584016393,1
5M1J,0.392705683,0.607294317,1
5MC6,0.422172452,0.577827548,1
5MDV,0.459197787,0.540802213,1
5MDW,0.452449568,0.547550432,1
5MDY,0.4609375,0.5390625,1
5MDZ,0.465976331,0.534023669,1
5MEI,0.445626072,0.554373928,1
5MGP,0.469879518,0.530120482,1
5MMM,0.44984326,0.55015674,1
5MRC,0.332480818,0.667519182,1
5MRE,0.334745763,0.665254237,1
5MRF,0.333616299,0.666383701,1
5MYJ,0.2,0.8,1
5NCO,0.507317073,0.492682927,1
5ND8,0.365617433,0.634382567,1
5ND9,0.338345865,0.661654135,1
5NDG,0.436883294,0.563116706,1
5NDJ,0.462081129,0.537918871,1
5NDK,0.461340206,0.538659794,1
5NDV,0.433988764,0.566011236,1
5NDW,0.443356643,0.556643357,1
5NJT,0.531818182,0.468181818,1
5NP6,0.442561205,0.557438795,1
5NWY,0.427503737,0.572496263,1
5O2R,0.454237288,0.545762712,1
5OBM,0.445685279,0.554314721,1
5ON6,0.43943565,0.56056435,1
5OT7,0.37037037,0.62962963,1
5T2A,0.391561806,0.608438194,1
5T2C,0.401894452,0.598105548,1
5T5H,0.423118866,0.576881134,1
5T62,0.461633663,0.538366337,1
5T6R,0.467914439,0.532085561,1
5T7V,0.461279461,0.538720539,1
5TBW,0.443442315,0.556557685,1
5TCU,0.446685879,0.553314121,1
5TGA,0.437651962,0.562348038,1
5TGM,0.427686703,0.572313297,1
5U4I,0.453957997,0.546042003,1
5U9F,0.479545455,0.520454545,1
5U9G,0.468531469,0.531468531,1
5UMD,0.413516609,0.586483391,1
5UQ7,0.45754717,0.54245283,1
5UQ8,0.460144928,0.539855072,1
5UYK,0.48456057,0.51543943,1
5UYL,0.494004796,0.505995204,1
5UYM,0.490825688,0.509174312,1
5UYN,0.478651685,0.521348315,1
5UYP,0.484716157,0.515283843,1
5UYQ,0.452914798,0.547085202,1
5V93,0.382882883,0.617117117,1
5VPP,0,1,1
5VYC,0.367605634,0.632394366,1
5W4K,0.428571429,0.571428571,1
5WDT,0.438622754,0.561377246,1
5WE4,0.446244477,0.553755523,1
5WE6,0.479427549,0.520572451,1
5WF0,0.460342146,0.539657854,1
5WFK,0.455399061,0.544600939,1
5WFS,0.471910112,0.528089888,1
5WLC,0.25751073,0.74248927,1
5X8P,0.391634981,0.608365019,1
5XXB,0.471371505,0.528628495,1
5XY3,0.469135802,0.530864198,1
5YDT,0.142857143,0.857142857,1
5ZEB,0.41349481,0.58650519,1
5ZEP,0.406862745,0.593137255,1
5ZLU,0.361516035,0.638483965,1
6AWB,0.353535354,0.646464646,1
6AWC,0.360824742,0.639175258,1
6AWD,0.421568627,0.578431373,1
6AZ3,0.403788634,0.596211366,1
6B4V,0.506933744,0.493066256,1
6BOK,0.530291698,0.469708302,1
6BU8,0.519021739,0.480978261,1
6BUW,0.294117647,0.705882353,1
6BY1,0.5,0.5,1
6BZ6,0.166666667,0.833333333,1
6BZ7,0.25,0.75,1
6BZ8,0.285714286,0.714285714,1
6C4I,0.454912517,0.545087483,1
6C5L,0.325581395,0.674418605,1
6CAE,0.25,0.75,1
6D90,0.432624113,0.567375887,1
6D9J,0.349015317,0.650984683,1
6DNC,0.465346535,0.534653465,1
6DZI,0.354401806,0.645598194,1
6EM1,0.352250489,0.647749511,1
6ENF,0.426229508,0.573770492,1
6ENJ,0.460629921,0.539370079,1
6ENU,0.451282051,0.548717949,1
6ERI,0,1,1
6FEC,0.367762128,0.632237872,1
6FRK,0.413943355,0.586056645,1
6FXC,0,1,1
6FYX,0.413612565,0.586387435,1
6FYY,0.404362416,0.595637584,1
6GAW,0.384615385,0.615384615,1
6GAZ,0.428571429,0.571428571,1
6GB2,0.4,0.6,1
6GQ1,0.366759517,0.633240483,1
6GQB,0.377843719,0.622156281,1
6GQV,0.377609108,0.622390892,1
6GSJ,0.457820738,0.542179262,1
6GSK,0.464384829,0.535615171,1
6GSL,0.479638009,0.520361991,1
6GSM,0.397058824,0.602941176,1
6GSN,0.435028249,0.564971751,1
6GWT,0.409836066,0.590163934,1
6GXM,0.390990991,0.609009009,1
6GXN,0.402573529,0.597426471,1
6GXO,0.382716049,0.617283951,1
6GXP,0.374220374,0.625779626,1
6GZ3,0.3125,0.6875,1
6GZ4,0.333333333,0.666666667,1
6GZ5,0.3,0.7,1
6GZQ,0.4425,0.5575,1
6GZX,0.400221729,0.599778271,1
6GZZ,0.381526104,0.618473896,1
6H4N,0.465968586,0.534031414,1
6H58,0.466434176,0.533565824,1
6HA1,0.43718593,0.56281407,1
6HA8,0.432525952,0.567474048,1
6HCF,0.380539499,0.619460501,1
6HCJ,0.381406436,0.618593564,1
6HCM,0.380173244,0.619826756,1
6HCQ,0.381468111,0.618531889,1
6HHQ,0.439186691,0.560813309,1
6HIV,0.230414747,0.769585253,1
6HIW,0.260162602,0.739837398,1
6HIX,0.201183432,0.798816568,1
6HIY,0.225,0.775,1
6HIZ,0.251798561,0.748201439,1
6HRM,0.465827338,0.534172662,1
6HTQ,0.405504587,0.594495413,1
6I7O,0.368819374,0.631180626,1
6I7V,0.018518519,0.981481481,1
6I9R,0.302469136,0.697530864,1
6IP5,0.365229111,0.634770889,1
6IP6,0.366666667,0.633333333,1
6IP8,0.389048991,0.610951009,1
6LKQ,0.437395659,0.562604341,1
6LQM,0.411021814,0.588978186,1
6LSR,0.395017794,0.604982206,1
6LSS,0.401442308,0.598557692,1
6LU8,0.406360424,0.593639576,1
6M62,0.353467562,0.646532438,1
6MTB,0.421561338,0.578438662,1
6MTC,0.416356877,0.583643123,1
6MTD,0.426265591,0.573734409,1
6MTE,0.412280702,0.587719298,1
6N1D,0.166666667,0.833333333,1
6N8J,0.424450549,0.575549451,1
6N8K,0.416201117,0.583798883,1
6N8L,0.40981241,0.59018759,1
6N8M,0.457534247,0.542465753,1
6N8N,0.419178082,0.580821918,1
6N8O,0.435656836,0.564343164,1
6NDK,0.333333333,0.666666667,1
6NSH,0.294117647,0.705882353,1
6NTA,0.230769231,0.769230769,1
6NU2,0.125250501,0.874749499,1
6NU3,0.132075472,0.867924528,1
6NUO,0.368421053,0.631578947,1
6NWY,0.181818182,0.818181818,1
6O3M,0.272727273,0.727272727,1
6O8W,0.46701847,0.53298153,1
6O8X,0.45480226,0.54519774,1
6O8Y,0.405405405,0.594594595,1
6O8Z,0.481081081,0.518918919,1
6O90,0.479674797,0.520325203,1
6O9J,0.465598492,0.534401508,1
6O9K,0.52962963,0.47037037,1
6OF6,0.3,0.7,1
6OFX,0.495726496,0.504273504,1
6OG7,0.482568807,0.517431193,1
6OGF,0.477351916,0.522648084,1
6OGG,0.360770578,0.639229422,1
6OGI,0.476106195,0.523893805,1
6OIG,0.483382209,0.516617791,1
6OJ2,0.347826087,0.652173913,1
6OLE,0.4,0.6,1
6OLF,0.377693283,0.622306717,1
6OLG,0.076923077,0.923076923,1
6OLI,0.396732789,0.603267211,1
6OLZ,0.166666667,0.833333333,1
6OM0,0.401360544,0.598639456,1
6OM6,0.470679012,0.529320988,1
6OM7,0.367541766,0.632458234,1
6OPE,0.310344828,0.689655172,1
6ORD,0.1875,0.8125,1
6ORE,0.462015504,0.537984496,1
6ORL,0.441971383,0.558028617,1
6OSI,0.214285714,0.785714286,1
6OSK,0.4336,0.5664,1
6OSQ,0.438377535,0.561622465,1
6OST,0.447222222,0.552777778,1
6OT3,0.443939394,0.556060606,1
6OTR,0.296296296,0.703703704,1
6OUO,0.444104135,0.555895865,1
6OXA,0.352941176,0.647058824,1
6OXI,0.210526316,0.789473684,1
6P5I,0.412844037,0.587155963,1
6P5J,0.403927069,0.596072931,1
6P5K,0.40562249,0.59437751,1
6P5N,0.413666422,0.586333578,1
6PJ6,0.167706708,0.832293292,1
6Q8Y,0.396270396,0.603729604,1
6Q95,0.413398693,0.586601307,1
6Q97,0.44813278,0.55186722,1
6Q98,0.431941924,0.568058076,1
6Q9A,0.43594306,0.56405694,1
6QIK,0.396,0.604,1
6QNQ,0.491362764,0.508637236,1
6QNR,0.46882793,0.53117207,1
6QT0,0.435056747,0.564943253,1
6QTZ,0.395721925,0.604278075,1
6QZP,0.307692308,0.692307692,1
6R5Q,0.4,0.6,1
6R6G,0.38247012,0.61752988,1
6R6P,0.376592357,0.623407643,1
6R7Q,0.411642412,0.588357588,1
6R84,0.423873325,0.576126675,1
6R86,0.424574209,0.575425791,1
6R87,0.425707547,0.574292453,1
6RI5,0.410497981,0.589502019,1
6RM3,0,1,1
6RW4,0.118796992,0.881203008,1
6RW5,0.115615616,0.884384384,1
6RXY,0.215053763,0.784946237,1
6RZZ,0.427536232,0.572463768,1
6S05,0.398384926,0.601615074,1
6S0X,0.399049881,0.600950119,1
6S13,0.157941437,0.842058563,1
6S47,0.5,0.5,1
6SG9,0.166666667,0.833333333,1
6SGA,0.251207729,0.748792271,1
6SGB,0.21875,0.78125,1
6SGC,0.418511066,0.581488934,1
6SKF,0,1,1
6SKG,0.25,0.75,1
6SNT,0.407704655,0.592295345,1
6SPF,0.437001595,0.562998405,1
6SPG,0.465789474,0.534210526,1
6SV4,0.364732479,0.635267521,1
6SWA,0.367041199,0.632958801,1
6SXO,0.25,0.75,1
6SZS,0.443548387,0.556451613,1
6T4Q,0.418195719,0.581804281,1
6T7I,0.389875666,0.610124334,1
6T7T,0.400159109,0.599840891,1
6T83,0.384738956,0.615261044,1
6TB3,0.397883598,0.602116402,1
6TBV,0.489690722,0.510309278,1
6TC3,0.48020654,0.51979346,1
6TH6,0.090909091,0.909090909,1
6TNU,0.354908306,0.645091694,1
6U48,1,0,1
6UTV,0.194444444,0.805555556,1
6UTW,0.236842105,0.763157895,1
6UTZ,0.212121212,0.787878788,1
6UU0,0.171428571,0.828571429,1
6UU1,0.25,0.75,1
6UU2,0.228571429,0.771428571,1
6UU3,0.214285714,0.785714286,1
6UU4,0.2,0.8,1
6UU5,0.257142857,0.742857143,1
6UU6,0.176470588,0.823529412,1
6UU8,0.238095238,0.761904762,1
6UU9,0.178571429,0.821428571,1
6UUC,0.257142857,0.742857143,1
6UZ7,0.450101833,0.549898167,1
6V39,0.465060241,0.534939759,1
6V3A,0.449308756,0.550691244,1
6V3B,0.456057007,0.543942993,1
6V3D,0.456445993,0.543554007,1
6V3E,0.379844961,0.620155039,1
6VLZ,0.269767442,0.730232558,1
6VMI,0.261574074,0.738425926,1
6VU3,0.150478108,0.849521892,1
6VWL,0.464627151,0.535372849,1
6VWM,0.453648915,0.546351085,1
6VWN,0.452427184,0.547572816,1
6VYQ,0.150781644,0.849218356,1
6VYR,0.151256281,0.848743719,1
6VYS,0.150933872,0.849066128,1
6VYT,0.151821862,0.848178138,1
6VYU,0.151745068,0.848254932,1
6VYW,0.151898734,0.848101266,1
6VYX,0.152052712,0.847947288,1
6VYY,0.151975684,0.848024316,1
6VYZ,0.151975684,0.848024316,1
6VZ2,0.152129817,0.847870183,1
6VZ3,0.151821862,0.848178138,1
6VZ5,0.151975684,0.848024316,1
6VZ7,0.151898734,0.848101266,1
6VZJ,0.150857719,0.849142281,1
6W2S,0.413705584,0.586294416,1
6W2T,0.411027569,0.588972431,1
6W6L,0.154114713,0.845885287,1
6W6P,0.494004796,0.505995204,1
6WD0,0.498269896,0.501730104,1
6WD1,0.471794872,0.528205128,1
6WD2,0.450087566,0.549912434,1
6WD3,0.465949821,0.534050179,1
6WD4,0.449300699,0.550699301,1
6WD5,0.45221843,0.54778157,1
6WD6,0.473967684,0.526032316,1
6WD7,0.448462929,0.551537071,1
6WD8,0.459893048,0.540106952,1
6WD9,0.460069444,0.539930556,1
6WDA,0.476439791,0.523560209,1
6WDB,0.456637168,0.543362832,1
6WDC,0.451612903,0.548387097,1
6WDD,0.481349911,0.518650089,1
6WDE,0.490693739,0.509306261,1
6WDF,0.45825603,0.54174397,1
6WDG,0.450171821,0.549828179,1
6WDH,0.433333333,0.566666667,1
6WDI,0.462406015,0.537593985,1
6WDJ,0.46819788,0.53180212,1
6WDK,0.460035524,0.539964476,1
6WDL,0.45323741,0.54676259,1
6WDM,0.462738302,0.537261698,1
6WNV,0.462794918,0.537205082,1
6WNW,0.457975986,0.542024014,1
6WOO,0.411935953,0.588064047,1
6X6T,0.151898734,0.848101266,1
6X7F,0.152052712,0.847947288,1
6X7K,0.151975684,0.848024316,1
6X9Q,0.151975684,0.848024316,1
6XA1,0.285714286,0.714285714,1
6XDQ,0.151975684,0.848024316,1
6 XDR,0.153217569,0.846782431,1
6XGF,0.153217569,0.846782431,1
6XII,0.153452685,0.846547315,1
6XIJ,0.151086407,0.848913593,1
6XIQ,0.105102818,0.894897182,1
6XIR,0.376365442,0.623634558,1
4V8A,0.384615385,0.615384615,1
4V8B,0.25,0.75,1
4V8C,0.227272727,0.772727273,1
4V8D,0.166666667,0.833333333,1
4V8E,0.266666667,0.733333333,1
4V8F,0.222222222,0.777777778,1
4V8G,0.555555556,0.444444444,1
4V8H,0.454545455,0.545454545,1
4V8I,0.5,0.5,1
4V8J,0.258064516,0.741935484,1
4V8M,0.44,0.56,1
4V8N,0.333333333,0.666666667,1
4V8O,0.333333333,0.666666667,1
4V8P,0.453371013,0.546628987,1
4V8Q,0.318181818,0.681818182,1
4V8T,0.437627812,0.562372188,1
4V8U,0.153846154,0.846153846,1
4V8X,0.2,0.8,1
4V8Y,0.367088608,0.632911392,1
4V8Z,0.379464286,0.620535714,1
4V90,0.3,0.7,1
4V91,0.42632171,0.57367829,1
4V95,0.535714286,0.464285714,1
4V97,0.375,0.625,1
4V9A,0.315789474,0.684210526,1
4V9B,0.235294118,0.764705882,1
4V9C,0.35483871,0.64516129,1
4V9D,0.185185185,0.814814815,1
4V9F,0.545605307,0.454394693,1
4V9H,0.384615385,0.615384615,1
4V9I,0.315789474,0.684210526,1
4V9J,0.148148148,0.851851852,1
4V9K,0.153846154,0.846153846,1
4V9L,0.25,0.75,1
4V9M,0.192307692,0.807692308,1
4V9N,0.25,0.75,1
4V9O,0.287878788,0.712121212,1
4V9P,0.321428571,0.678571429,1
4V9Q,0.5,0.5,1
4V9R,0.375,0.625,1
4V9S,0.352941176,0.647058824,1
4W29,0.047619048,0.952380952,1
4W2E,0.484330484,0.515669516,1
4W2F,0.352941176,0.647058824,1
4W2G,0.375,0.625,1
4W2H,0.388888889,0.611111111,1
4W2I,0.35,0.65,1
4W4G,0.473684211,0.526315789,1
4WF1,0.35,0.65,1
4WPO,0.272727273,0.727272727,1
4WQ1,0.463045414,0.536954586,1
4WQF,0.261904762,0.738095238,1
4WQR,0.470481381,0.529518619,1
4WQS,0.333333333,0.666666667,1
4WQU,0.285714286,0.714285714,1
4WQY,0.260869565,0.739130435,1
4WR6,0.475655431,0.524344569,1
4WRA,0.474178404,0.525821596,1
4WRO,0.47660312,0.52339688,1
4WSD,0.474513438,0.525486562,1
4WSM,0.48189415,0.51810585,1
4WT1,0.470588235,0.529411765,1
4WT8,0.142857143,0.857142857,1
4WU1,0.477883781,0.522116219,1
4WWW,0,1,1
4WZD,0.4775,0.5225,1
4WZM,0.333333333,0.666666667,1
4WZO,0.47834275,0.52165725,1
4XEJ,0,1,1
4YBB,0.230769231,0.769230769,1
4YPB,0.473684211,0.526315789,1
4YZV,0.388888889,0.611111111,1
4ZSN,0.411764706,0.588235294,1
5A9Z,0.208333333,0.791666667,1
5AA0,0.153846154,0.846153846,1
5AFI,0.453936348,0.546063652,1
5AJ0,0.090909091,0.909090909,1
5AJ4,0,0,0
5APN,0.434117647,0.565882353,1
5APO,0.453105968,0.546894032,1
5BKL,0.040816327,0.959183673,1
5BKN,0.064516129,0.935483871,1
5CZP,0.283018868,0.716981132,1
5D8B,0.477700694,0.522299306,1
5DAT,0.430513082,0.569486918,1
5DC3,0.432862191,0.567137809,1
5DFE,0.253968254,0.746031746,1
5DGE,0.449008499,0.550991501,1
5DGF,0.425531915,0.574468085,1
5DGV,0.431652174,0.568347826,1
5E7K,0.470909091,0.529090909,1
5.00E+81,0.456993918,0.543006082,1
5EL4,0.465532677,0.534467323,1
5EL5,0.472477064,0.527522936,1
5EL6,0.472937001,0.527062999,1
5EL7,0.477047705,0.522952295,1
5EPI,0.386363636,0.613636364,1
5FCI,0.441843716,0.558156284,1
5FCJ,0.441585535,0.558414465,1
5FL8,1,0,1
5GAK,0.369047619,0.630952381,1
5H4P,0.419161677,0.580838323,1
5H5U,0.524752475,0.475247525,1
5I4L,0.428668942,0.571331058,1
5I9H,0,1,1
5IB7,0.453043478,0.546956522,1
5IB8,0.454144621,0.545855379,1
5IBB,0.446976337,0.553023663,1
5IMQ,0.331983806,0.668016194,1
5IMR,0.342155009,0.657844991,1
5IQR,0.43902439,0.56097561,1
5IT8,0.333333333,0.666666667,1
6XU6,0.375630252,0.624369748,1
6XU7,0.301839465,0.698160535,1
6XU8,0.380062305,0.619937695,1
6XYW,0.363802559,0.636197441,1
6XZA,0.495098039,0.504901961,1
6XZB,0.495114007,0.504885993,1
6XZD,0,1,1
6XZG,0.153846154,0.846153846,1
6XZP,0.052631579,0.947368421,1
6XZR,0.052631579,0.947368421,1
6Y0C,0.055555556,0.944444444,1
6Y0G,0.217391304,0.782608696,1
6Y2L,0.235294118,0.764705882,1
6Y57,0.210526316,0.789473684,1
6Y69,0.470881864,0.529118136,1
6YAM,0.408284024,0.591715976,1
6YDP,0,1,1
6YDW,0.333333333,0.666666667,1
6YEF,0.450549451,0.549450549,1
6YLG,0.352873563,0.647126437,1
6YLH,0.352,0.648,1
6YLX,0.314009662,0.685990338,1
6YLY,0.337552743,0.662447257,1
6YSR,0.452554745,0.547445255,1
6YST,0.439942113,0.560057887,1
6YSU,0.455555556,0.544444444,1
6YW5,0.121807466,0.878192534,1
6YWE,0.138776882,0.861223118,1
6YWO,0,1,1
6YWS,0.149825784,0.850174216,1
6YWV,0.138780078,0.861219922,1
6YWX,0.135721667,0.864278333,1
6YWY,0.137848877,0.862151123,1
6YXX,0.197530864,0.802469136,1
6YXY,0.227166276,0.772833724,1
6Z1P,0,1,1
6Z6B,0.217391304,0.782608696,1
6Z6J,0.412414966,0.587585034,1
6Z6K,0.41507799,0.58492201,1
6Z6L,0.173913043,0.826086957,1
6Z6M,0.159090909,0.840909091,1
6Z6N,0.305555556,0.694444444,1
6ZJ3,0.304347826,0.695652174,1
6ZM5,0.145418327,0.854581673,1
6ZM6,0.148416887,0.851583113,1
6ZM7,0.3,0.7,1
6ZME,0.311111111,0.688888889,1
6ZMI,0.222222222,0.777777778,1
6ZMO,0.1875,0.8125,1
6ZMW,0.429280397,0.570719603,1
6ZON,0.388636364,0.611363636,1
6ZP4,0.442176871,0.557823129,1
6ZS9,0.097649186,0.902350814,1
6ZSA,0.110707804,0.889292196,1
6ZSB,0.105536332,0.894463668,1
6ZSC,0.1019678,0.8980322,1
6ZSD,0.1,0.9,1
6ZSE,0.104304636,0.895695364,1
6ZSG,0.114545455,0.885454545,1
6ZTJ,0.181818182,0.818181818,1
6ZTL,0.222222222,0.777777778,1
6ZTM,0.222222222,0.777777778,1
6ZTN,0.285714286,0.714285714,1
6ZTO,0.181818182,0.818181818,1
6ZTP,0.181818182,0.818181818,1
6ZU1,0.181818182,0.818181818,1
6ZU5,0.75,0.25,1
6ZVJ,0.405970149,0.594029851,1
6ZVK,0.3728223,0.6271777,1
7A01,0.368589744,0.631410256,1
7A09,0.425824176,0.574175824,1
7A5F,0.31048951,0.68951049,1
7A5G,0.314128944,0.685871056,1
7A5H,0.325884544,0.674115456,1
7A5I,0.31420373,0.68579627,1
7A5J,0.331501832,0.668498168,1
7A5K,0.299472296,0.700527704,1
7ABZ,0.417832168,0.582167832,1
7AC7,0.419354839,0.580645161,1
7ACJ,0.391452991,0.608547009,1
7ACR,0.383838384,0.616161616,1
7AIH,0.229931973,0.770068027,1
7AM2,0.262608696,0.737391304,1
7ANE,0.276182432,0.723817568,1
7ASE,0.294663573,0.705336427,1
7ASO,0.384433962,0.615566038,1
